Investors,InvestorLink,Latest,Seed,Growth,Legal,GRC,RiskTech,FinTech,WealthTech,Participation
Next Play Ventures,https://www.crunchbase.com/organization/nextplay-ventures,Jul 2021,3,0,0,3,0,0,0,243600000
Vidici Ventures,https://www.google.com/search?q=Vidici+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,13,0,8,0,8,0,202714556
Dan Teran,https://www.google.com/search?q=Dan+Teran+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,0,0,0,0,2,0,8400000
Female Founders Fund,https://www.google.com/search?q=Female+Founders+Fund+AND+Crunchbase+OR+LinkedIn,Jul 2021,3,5,0,0,5,3,0,205500000
Ozone Partners,https://www.google.com/search?q=Ozone+Partners+AND+Crunchbase+OR+LinkedIn,Jul 2021,2,0,0,0,0,2,0,8400000
H.I.G. Capital,https://www.google.com/search?q=H.I.G.+Capital+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,12,0,0,0,12,0,2746000000
BlueIO,https://www.google.com/search?q=BlueIO+AND+Crunchbase+OR+LinkedIn,Jul 2021,1,13,0,3,10,1,0,1438600000
Angela Strange,https://www.google.com/search?q=Angela+Strange+AND+Crunchbase+OR+LinkedIn,Jul 2021,7,0,0,0,0,7,0,721000000
Donnelley Family,https://www.google.com/search?q=Donnelley+Family+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,2,0,2,0,0,0,6000000
Revolution Ventures,https://www.google.com/search?q=Revolution+Ventures+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,37,0,0,12,25,0,13807850000
Michael Akkerman,https://www.google.com/search?q=Michael+Akkerman+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,5,0,0,5,0,0,78000000
Eden Block,https://www.google.com/search?q=Eden+Block+AND+Crunchbase+OR+LinkedIn,Jul 2021,6,23,0,10,0,19,0,1634600000
Varsha Rao,https://www.crunchbase.com/person/varsha-rao,Jul 2021,5,5,0,0,5,0,0,855000000
HJM Holdings,https://www.google.com/search?q=HJM+Holdings+AND+Crunchbase+OR+LinkedIn,Jul 2021,0,2,0,0,0,2,0,283147442
Craig Dewar,https://www.google.com/search?q=Craig+Dewar+AND+Crunchbase+OR+LinkedIn,Jul 2021,10,0,0,0,0,10,0,436887462
Pale Blue Dot,https://www.google.com/search?q=Pale+Blue+Dot+AND+Crunchbase+OR+LinkedIn,Jul 2021,15,0,0,15,0,0,0,990661990
